Titulo,Artista,Year,Genero,Estado,pais,stilo
Enter Shikari - Moratorium (Broadcasts From The Interruption),Enter Shikari,2021,"['Electronic', 'Rock']",Accepted,UK & Europe,"['Indie Rock', 'Alternative Rock', 'Synth-pop', 'Acoustic']"
Programm C - Lucifer Turns Up The Volume,Programm C,2000,['Rock'],Accepted,Austria,['Hardcore']
Buffy Sainte-Marie - She Used To Wanna Be A Ballerina / Moratorium (Bring Our Brothers Home),Buffy Sainte-Marie,1971,['Rock'],Accepted,Canada,['Folk Rock']
The Super Golden Chimes* - Shina Pethum / Menike Nisa / Moratuwa / Sandak Besagiya,Super Golden Chimes,1974,"['Pop', 'Folk, World, & Country']",Accepted,Sri Lanka,
"Max Morath, Scott Joplin - Max Morath Plays The Best Of Scott Joplin And Other Rag Classics",Max Morath,1972,['Jazz'],Accepted,US,['Ragtime']
The Flaming Stars (6) - Mphoya Le Rato / Kena Le Moratiwa,The Flaming Stars (6),0,"['Folk, World, & Country']",Accepted,South Africa,['African']
The Flaming Stars (6) - Mphoya Le Rato / Kena Le Moratiwa,The Flaming Stars (6),0,"['Folk, World, & Country']",Accepted,South Africa,['African']
Max Morath - Max Morath Plays At The Gold Bar Room,Max Morath,1954,['Pop'],Accepted,US,['Music Hall']
Various - Ragtime Special: Max Morath [Et Al.] Play Greats By Scott Joplin And Others,Various,0,['Jazz'],Accepted,US,['Ragtime']
Programm C - Lucifer Turns Up The Volume,Programm C,2000,['Rock'],Accepted,Austria,['Metalcore']
Max Morath - Max Morath Plays The Best Of Scott Joplin And Other Rag Classics,Max Morath,0,['Jazz'],Accepted,France,['Ragtime']
Johnny Thunders & The Heartbreakers* - Chinese Rocks,The Heartbreakers (2),1984,['Rock'],Accepted,UK,['Punk']
Rumtum - Mora Tuga,Rumtum,0,['Electronic'],Accepted,US,"['Downtempo', 'Hip Hop']"
Bars (4) - Mala Idea,Bars (4),1991,['Rock'],Accepted,Spain,['Pop Rock']
Max Morath - Max Morath Plays The Best Of Scott Joplin ,Max Morath,1972,['Jazz'],Accepted,Italy,['Ragtime']
Johnny Thunders & The Heartbreakers* - Chinese Rocks,The Heartbreakers (2),1984,['Rock'],Accepted,UK,"['Rock & Roll', 'Punk']"
Johnny Thunders & The Heartbreakers* - Chinese Rocks,The Heartbreakers (2),1985,['Rock'],Accepted,UK,['Punk']
The Damned - Grave Disorder,The Damned,2017,['Rock'],Accepted,US,"['New Wave', 'Goth Rock', 'Punk']"
The Damned - A Nation Fit For Heroes,The Damned,2010,['Rock'],Accepted,UK,['Punk']
Troublemaker (6) - Moratorium,Troublemaker (6),2010,['Rock'],Draft,US,['Hardcore']
"Lourdes Morato, Orlando Rojas Y Su Conjunto - Lourdes Morato",Lourdes Morato,1977,"['Latin', 'Folk, World, & Country']",Accepted,Bolivia,"['Folk', 'Música Criolla']"
Vae Victis (5) - Ugly Reflection,Vae Victis (5),2001,['Rock'],Accepted,US,['Hardcore']
Lourdes Morato - Lourdes Morato,Lourdes Morato,1982,"['Latin', 'Folk, World, & Country']",Accepted,Bolivia,['Andean Music']
Run (2) - Halloween,Run (2),1987,['Electronic'],Accepted,Italy,"['Italo-Disco', 'Synth-pop']"
Run (2) - Halloween,Run (2),1987,['Electronic'],Accepted,Netherlands,"['Italo-Disco', 'Synth-pop']"
Mora Träsk - Mora Träsk,Mora Träsk,0,"['Rock', 'Folk, World, & Country']",Accepted,Sweden,
Scorcia big band Boom - Santa! Pilla Carretera y Manta,Scorcia big band Boom,2020,"['Jazz', 'Rock', 'Blues']",Accepted,Spain,"['Swing', 'Rockabilly']"
Elvis¡* / Elvis Costello - Spanish Model / This Year's Model,Elvis Costello,2021,"['Rock', 'Latin']",Accepted,Worldwide,"['New Wave', 'Pop Rock']"
Elvis¡* - Spanish Model,Elvis Costello,2021,"['Rock', 'Latin']",Accepted,Worldwide,"['New Wave', 'Pop Rock']"
Johnny Thunders & The Heartbreakers* - Chinese Rocks,The Heartbreakers (2),1984,['Rock'],Accepted,UK,
The Special Five - Mapule / Ke Hopotse Moratuwa Waka,The Special Five,1981,"['Folk, World, & Country']",Accepted,South Africa,['African']
Alvaro Soler - The Best Of 2015-2022,Alvaro Soler,2022,"['Latin', 'Pop']",Accepted,Europe,
House Of Broken Promises - Using The Useless,House Of Broken Promises,2010,['Rock'],Accepted,Germany,"['Stoner Rock', 'Heavy Metal']"
Morat (2) - Si Ayer Fuera Hoy,Morat (2),2022,"['Latin', 'Pop']",Accepted,Spain,
English Dogs - The Thing With Two Heads,English Dogs,2014,['Rock'],Accepted,UK,"['Thrash', 'Hardcore', 'Punk']"
Max Morath - Max Morath Plays The Best Of Scott Joplin And Other Rag Classics,Max Morath,0,['Jazz'],Accepted,US,['Ragtime']
House Of Broken Promises - Using The Useless,House Of Broken Promises,2010,['Rock'],Accepted,Germany,"['Stoner Rock', 'Heavy Metal']"
"Norman Lee - Smith Center, Kansas Moratorium Day Rock Festival Care Race 'n Barn Dance",Norman Lee,1976,"['Pop', 'Folk, World, & Country']",Accepted,US,['Lounge']
Run (2) - Halloween,Run (2),1987,['Electronic'],Accepted,Netherlands,"['Italo-Disco', 'Synth-pop']"
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,UK,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Beret (3) - Resilencia,Beret (3),2022,"['Hip Hop', 'Latin', 'Pop']",Accepted,Spain,
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,UK,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Cuixa - Montgó,Cuixa,1978,['Rock'],Accepted,Spain,"['Folk Rock', 'Prog Rock']"
Antonio José - Fénix,Antonio José,2022,"['Latin', 'Pop']",Accepted,Spain,
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,US,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Elvis¡* / Elvis Costello - Spanish Model / This Year's Model,Elvis Costello,2021,"['Rock', 'Latin']",Accepted,US,"['New Wave', 'Pop Rock']"
earthtone9 - Off Kilter Enhancement,earthtone9,2021,['Rock'],Accepted,UK,
